,title,description,score
10,It Takes Two,"Отправьтесь в самое безумное путешествие в жизни в игре It Takes Two. Пригласите друга присоединиться бесплатно благодаря версии для друга*, радостно преодолевая многочисленные испытания.— Steam",4.6
11,WarCraft 3: The Frozen Throne,"Дополнение к WarCraft 3: Reign of Chaos рассказывает о том, что стало с нашими героями после завершения игры. В WarCraft 3: The Frozen Throne три кампании: одна повествует об отступнике Иллидане, который жаждет власти, вторая рассказывает о том, как раскололся Альянс, а эльфы под водительством мага Кель'талиаса отправляются в другое измерение, откуда некогда пришли орки, наконец, третья часть повествует о том, как темный принц Артес отправляется в Нортренд, где его ждет сила короля личей. Вместе с интересным сюжетом, разработчики дарят массу увлекательных миссий с весьма нетривиальными заданиями. Разумеется, появились новые герои, несколько свежих юнитов и зданий.—",4.6
12,Cyberpunk 2077: Phantom Liberty,"Успеха «Крови и вина» разработчики из CD Projekt RED не повторили, но выпустили для Cyberpunk 2077 хорошее сюжетное DLC и крупный патч, радикально меняющий игру. С таким дополнением не стыдно поставить в истории точку.—",4.6
13,WarCraft 3: Reign of Chaos,"Мир Азерота снова  в опасности. Если раньше угрозу представляли только дикие племена Орков, то теперь в бой идут демоны Пылающего легиона и твари Нежити, которые жаждут одного – власти. Некогда могучий Альянс людей, гномов и эльфов на грани раскола, а противостоять новой угрозе некому. Вместе с героями этой эпической саги, принцем Артесом, молодым вождем орков Траллом, рыцарем Утером Светоносным и другими, вы примете участие в самом незабываемом приключении вашей жизни, где нашлось место любви, предательству и неожиданным сюжетным поворотам.Третья часть знаменитого  стратегического сериала стала лучшей RTS 2002 года. Игра собрала миллионы положительных отзывов игроков, заработала 50 различных наград и надолго заняла место главного киберспортивного развлечения планеты.В игре вас ждет три  внушительных кампании, десятки разнообразных юнитов, отличная графика, потрясающего качества ролики и эпический сюжет, написанный в традициях лучших романов в стиле фэнтази. Кроме того, игра может похвастаться глубоким, тонко сбалансированным мультиплеером. Причем найти себе соперника по силам очень просто и сегодня: ведь на серверах battle.net до сих пор тысячи игроков бьются друг с другом, так что каждый может попробовать себя в деле.—",4.6
14,StarCraft II: Wings of Liberty,"StarCraft 2 – эта игра, которую ждут миллионы поклонников по всему миру. Blizzard задумали действительно очень масштабный проект, так что, по их словам, уместить в одну игру все задумки и выпустить игру в срок просто невозможно. Поэтому было принято решение разделить StarCraft 2 на три части. И первая получила подзаголовок Wings of Liberty.В игре мы встретим наших  старых знакомых, а непосредственно  играть будет за Джима Рейнора, который  снова возвращается на фронт. Мерзкие зерги снова атакуют галактику, нанося удар за ударом. Нашему же герою предстоит возглавить армию землян и вступить в бой с врагом. По сути, StarCraft 2: Terrans - Wings of Liberty будет очень знакомой игрой. Мы все также собираем кристаллы и газ, возводим базу. Даже многие юниты были бережно перенесены из оригинала. Однако, появились и некоторые новые типы солдат. Другая новинка в том, что теперь за выполненные миссии вы будете получать деньги, которые можно потратит на покупку апгрейдов юнитов и строений.—",4.6
15,Fallout 2,"Fallout® 2 — это продолжение признанной всеми игры, которая вытащила жанр RPG из подземелий и поместила его в динамичное, апокалиптическое ретро-будущее. Прошло 80 лет с тех пор, как ваши предки пересекли пустоши.— Steam",4.6
16,Gothic II,"Gothic II: Золотое Издание включает оригинальную игру Gothic II и официальное дополнение ""Ночь Ворона""!— Steam",4.6
17,Heroes of Might and Magic III: Armageddon's Blade,"Казалось бы, обычное  дополнение к легендарной Heroes of Might and Magic 3. Но разработчики превзошли себя, соорудив аддон ни в чем не уступающий оригиналу. Во-первых, вашему вниманию предлагается весьма запутанный и интересный сюжет. Согласно ему, героям придется отправиться в опасное путешествие за могучим «клинком Армагеддона», который наделяет владельца разрушительной силой. Игровая кампания разбита на шесть внушительных глав, так что скучать не приходится. Интересных же событий произойдет очень много. Во-вторых, появились и новые юниты. Например, вернулись крестьяне, появились хоббиты, мумии, кочевники, наездники на кабанах, кроме того, добавлено сразу четыре вида драконов, которые страшны в бою. Всего же в игре появилось аж 23 новых юнита. Конечно, разработчики добавили и новый город – в нем живут элементали, а само поселение похоже на какую-то дискотеку.—",4.6
18,Half-Life: Alyx,"﻿Half-Life: Alyx — это возвращение Valve во вселенную Half-Life в виртуальной реальности. Это история невозможной борьбы с жестокой расой пришельцев, известной как Альянс. События происходят между Half-Life и Half-Life 2. Вы играете за Аликс Вэнс, и вы — единственный шанс человечества на спасение.— Steam",4.6
19,Космические Рейнджеры 2: Доминаторы,"«Космические Рейнджеры 2: Доминаторы» – это уникальное сочетание множества самых различных жанров. Романтика космических странствий и приключений, тактика планетарных боев и стратегия освобождения захваченных врагом систем – все это есть в игре. Даже любителям аркадных битв и текстовых квестов найдется, на что посмотреть.В игре вас ждет невероятно интересный мир, который может жить и развиваться самостоятельно, без вашего участия: 60 звездных систем, в сумме насчитывающих свыше 250 планет и станций. Кроме того, в мире живут своей жизнью сотни кораблей, управляемых компьютерными пилотами. Вы можете выбрать себе героя по вкусу из 5 различных рас, и отправится бороздить галактику. Свобода выбора и принятия решений – вот ключевые слова, которые отражают суть «Космических Рейнджеров 2: Доминаторы».—",4.6
20,The Chronicles Of Myrtana: Archolos,"Лучший мод для Gothic II и, возможно, не только — большая, увлекательная игра часов на 100 реального времени, с фирменной атмосферой, свободой и нелинейностью.—",4.6
21,Factorio: Space Age,"Factorio: Space Age продолжает путешествие игрока после запуска ракет в космос. Открывайте новые миры с уникальными испытаниями, используйте их новые ресурсы для достижения передовых технологических успехов и управляйте своим флотом межпланетных космических платформ.— Steam",4.6
22,Grand Theft Auto: San Andreas,"Заключительное дополнение к GTA III превзойдет все ваши самые смелые мечты. Действие игры разворачивается в штате San Andreas, где вы в роли чернокожего гангстера Сиджея наводите порядок в родном районе. Разработчики с фирменным мастерством написали очень интересную, практически жизненную историю. Взяв под свой контроль главного героя, вы пройдете с ним весь путь криминальной карьеры. Отличные диалоги, прекрасные ролики – все для вас.Пристальное внимание разработчики уделили миру. Город теперь не один, а целых три – причем все они детально проработаны. Добавили создатели и средств передвижения: кроме привычных машин, мотоциклов и вертолетов, появились велосипеды и даже самолеты. Миссии стали очень разнообразные, кроме того к вашим услугам масса развлечений: можно сходить на танцы, посетить спортзал, отправиться в зал аркадных автоматов. Внешний вид героя тоже можно изменять, как душе угодно: разрешается посещать парикмахерские, магазины одежды, купить часы и другие модные вещи.—",4.5
23,Resident Evil 2 (2019),"Выход Resident Evil 2 состоялся в 1998 году, и теперь одна из самых знаменитых игр всех времен возвращается на современные консоли в совершенно новом облике.Пройдите отдельные кампании за Leon Kennedy и Claire Redfield в новом режиме от третьего лица. Отправляйтесь в кишащий зомби Raccoon City, воссозданный на RE Engine — эксклюзивном движке Capcom. Ужасающие открытия ждут не только новых игроков, но и закаленных поклонников, ведь город наполнен головоломками, ответвлениями сюжета и областями!—",4.5
24,Max Payne,"Счастливая жизнь детектива полиции Нью-Йорка Макса Пейна закончилась в тот момент, когда неизвестные преступники вломились в его дом и жестоко убили жену и ребенка. Теперь он желает только одного – найти и покарать тех, кто превратил его жизнь в ад. Продвигаясь по мрачным, залитым дождем улицам, Макс оставляет после себя только горы трупов. Он не знает жалости и уже забыл слово «милосердие». Его путь ведет по краю бездны, и он это понимает как никто другой.Max Payne – один из лучших интерактивных боевиков за всю историю компьютерных игр. Мрачная нуар-атмосфера, по-настоящему интересная история и на всю жизнь запоминающийся главный герой. К вашим услугам десятки видов оружия, и, главное, фирменная способность Макса – уходить в затяжное slo-mo. Трюк, который сегодня использует каждая вторая игра, был впервые использован именно в Max Payne, и именно это позволило разработчикам сделать беспрецедентно кинематографичные перестрелки.—",4.5
25,The Witcher 3: Wild Hunt - Blood and Wine,"Добро пожаловать в землю тепла и солнца, в далекую долину, не тронутую войной, в край странствующих рыцарей, благородных дам и великолепного вина. Лучше всего отправиться в эти земли прямо сейчас: когда жители все еще потрясены жестокими убийствами. Геральт из Ривии, легендарный охотник на чудовищ, берется за свой последний контракт. В дополнении ""Кровь и вино"" вас ждёт более 20 часов приключений, в которых красота столкнется с ужасом, а любовь - с обманом и предательством.—",4.8
26,The Witcher 3: Wild Hunt,"Вы — Геральт из Ривии, наемный убийца чудовищ. Вы путешествуете по миру, в котором бушует война и на каждом шагу подстерегают чудовища. Вам предстоит выполнить заказ и найти Цири — Дитя Предназначения, живое оружие, способное изменить облик этого мира.—",4.7
27,The Witcher 3: Wild Hunt - Hearts of Stone,"«Каменные сердца» — это первое крупное дополнение к игре «Ведьмак 3: Дикая охота», грандиозному ролевому приключению, заслужившему множество наград. Станьте Геральтом из Ривии, профессиональным охотником на чудовищ, которого наняли разобраться с главарём бандитов Ольгердом фон Эвереком, человеком, обретшим дар бессмертия. Это дополнение рассчитано более чем на 10 часов прохождения: новые персонажи, опасные чудовища, нетривиальная романтическая история и новый сюжет, формируемый вашими решениями.—",4.7
28,Silent Hill 2,"Джеймс Сандерленд приехал в таинственный городок Сайлент Хилл, чтобы отыскать свою жену. Проблема только в том, что она умерла вот уже три года назад, но несчастный вдовец совсем недавно получил от нее письмо с просьбой приехать к ней в город. «Мертвецы не пишут писем», — убеждает себя наш герой, но, тем не менее, отправляется с этот город полный тайн.Вторая часть одного из самых лучших хоррор-сериалов и по сей день остается одним из лучших ужастиков в истории видео и компьютерных игр. Здесь разработчики рассказывают действительно страшную историю и проводят игрока через семь кругов ада. Ужасающий туман окружает город, жуткие монстры лезут из темноты, а у главного героя лишь фонарик, пистолет с парой патронов, да жгучее желание выжить. Вы готовы к испытанию?—",4.7
29,Heroes of Might and Magic III: The Shadow of Death,"Очередное дополнение к легендарной Heroes of Might and Magic 3 дарит  игрокам новое незабываемое приключение. Разработчики написали семь новых кампаний, сочинили 38 отдельных миссий и немного улучшили графику. Кроме того, в игре появились полноценные городские баррикады. Например, можно возвести ограду из кольев, и тогда враг, угодивший в ловушку, понесет внушительные потери. Остальные изменения тоже порадуют ценителей игры: несколько новых комплектов брони, пара свежих юнитов и серьезно повышенный уровень сложности.—",4.7
30,Portal 2,Программа вечного тестирования расширена: создавайте совместные головоломки для себя и друзей!— Steam,4.6
31,Half-Life 2,"Гордон Фримен вновь пробуждается в оккупированном центре Сити-17 и возглавляет отчаянное сопротивление против Альянса. К нему присоединяется Аликс Вэнс. Сыграйте в этот эпохальный шутер от первого лица с беспрецедентной физикой, обеспечивающей невероятный уровень погружения, и головокружительными сражениями.— Steam",4.6
32,Baldur’s Gate III,"Соберите отряд и вернитесь в Забытые Королевства. Вас ждет история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти.— Steam",4.6
33,Disco Elysium,"Disco Elysium - The Final Cut — революция в жанре РПГ. Ваш персонаж — детектив с уникальными навыками, которому предстоит исследовать целый район. Допрашивайте персонажей, расследуйте убийства или берите взятки. Кем вы станете: героем или неудачником?— Steam",4.6
34,Resident Evil 4 (2023),"После биологической катастрофы в Раккун-Сити прошло шесть лет. Агента Леона С. Кеннеди, пережившего те события, отправили на задание по спасению похищенной дочери президента. В попытках отыскать ее он оказывается в укромной европейской деревеньке, где с местными жителями творится что-то не то. Сорвите занавес с этой увлекательной и жуткой истории о смелом герое и познайте жизнь и смерть, ужас и восхищение.Resident Evil 4, настоящий гигант индустрии, возрождается. Вас ждут обновленный игровой процесс, переработанный сюжет и крайне детализированная графика.Вновь переживите кошмар, полностью изменивший жанр ужасов.—",4.6
35,It Takes Two,"Отправьтесь в самое безумное путешествие в жизни в игре It Takes Two. Пригласите друга присоединиться бесплатно благодаря версии для друга*, радостно преодолевая многочисленные испытания.— Steam",4.6
36,WarCraft 3: The Frozen Throne,"Дополнение к WarCraft 3: Reign of Chaos рассказывает о том, что стало с нашими героями после завершения игры. В WarCraft 3: The Frozen Throne три кампании: одна повествует об отступнике Иллидане, который жаждет власти, вторая рассказывает о том, как раскололся Альянс, а эльфы под водительством мага Кель'талиаса отправляются в другое измерение, откуда некогда пришли орки, наконец, третья часть повествует о том, как темный принц Артес отправляется в Нортренд, где его ждет сила короля личей. Вместе с интересным сюжетом, разработчики дарят массу увлекательных миссий с весьма нетривиальными заданиями. Разумеется, появились новые герои, несколько свежих юнитов и зданий.—",4.6
37,Cyberpunk 2077: Phantom Liberty,"Успеха «Крови и вина» разработчики из CD Projekt RED не повторили, но выпустили для Cyberpunk 2077 хорошее сюжетное DLC и крупный патч, радикально меняющий игру. С таким дополнением не стыдно поставить в истории точку.—",4.6
38,WarCraft 3: Reign of Chaos,"Мир Азерота снова  в опасности. Если раньше угрозу представляли только дикие племена Орков, то теперь в бой идут демоны Пылающего легиона и твари Нежити, которые жаждут одного – власти. Некогда могучий Альянс людей, гномов и эльфов на грани раскола, а противостоять новой угрозе некому. Вместе с героями этой эпической саги, принцем Артесом, молодым вождем орков Траллом, рыцарем Утером Светоносным и другими, вы примете участие в самом незабываемом приключении вашей жизни, где нашлось место любви, предательству и неожиданным сюжетным поворотам.Третья часть знаменитого  стратегического сериала стала лучшей RTS 2002 года. Игра собрала миллионы положительных отзывов игроков, заработала 50 различных наград и надолго заняла место главного киберспортивного развлечения планеты.В игре вас ждет три  внушительных кампании, десятки разнообразных юнитов, отличная графика, потрясающего качества ролики и эпический сюжет, написанный в традициях лучших романов в стиле фэнтази. Кроме того, игра может похвастаться глубоким, тонко сбалансированным мультиплеером. Причем найти себе соперника по силам очень просто и сегодня: ведь на серверах battle.net до сих пор тысячи игроков бьются друг с другом, так что каждый может попробовать себя в деле.—",4.6
39,StarCraft II: Wings of Liberty,"StarCraft 2 – эта игра, которую ждут миллионы поклонников по всему миру. Blizzard задумали действительно очень масштабный проект, так что, по их словам, уместить в одну игру все задумки и выпустить игру в срок просто невозможно. Поэтому было принято решение разделить StarCraft 2 на три части. И первая получила подзаголовок Wings of Liberty.В игре мы встретим наших  старых знакомых, а непосредственно  играть будет за Джима Рейнора, который  снова возвращается на фронт. Мерзкие зерги снова атакуют галактику, нанося удар за ударом. Нашему же герою предстоит возглавить армию землян и вступить в бой с врагом. По сути, StarCraft 2: Terrans - Wings of Liberty будет очень знакомой игрой. Мы все также собираем кристаллы и газ, возводим базу. Даже многие юниты были бережно перенесены из оригинала. Однако, появились и некоторые новые типы солдат. Другая новинка в том, что теперь за выполненные миссии вы будете получать деньги, которые можно потратит на покупку апгрейдов юнитов и строений.—",4.6
40,Fallout 2,"Fallout® 2 — это продолжение признанной всеми игры, которая вытащила жанр RPG из подземелий и поместила его в динамичное, апокалиптическое ретро-будущее. Прошло 80 лет с тех пор, как ваши предки пересекли пустоши.— Steam",4.6
41,Gothic II,"Gothic II: Золотое Издание включает оригинальную игру Gothic II и официальное дополнение ""Ночь Ворона""!— Steam",4.6
42,Heroes of Might and Magic III: Armageddon's Blade,"Казалось бы, обычное  дополнение к легендарной Heroes of Might and Magic 3. Но разработчики превзошли себя, соорудив аддон ни в чем не уступающий оригиналу. Во-первых, вашему вниманию предлагается весьма запутанный и интересный сюжет. Согласно ему, героям придется отправиться в опасное путешествие за могучим «клинком Армагеддона», который наделяет владельца разрушительной силой. Игровая кампания разбита на шесть внушительных глав, так что скучать не приходится. Интересных же событий произойдет очень много. Во-вторых, появились и новые юниты. Например, вернулись крестьяне, появились хоббиты, мумии, кочевники, наездники на кабанах, кроме того, добавлено сразу четыре вида драконов, которые страшны в бою. Всего же в игре появилось аж 23 новых юнита. Конечно, разработчики добавили и новый город – в нем живут элементали, а само поселение похоже на какую-то дискотеку.—",4.6
43,Half-Life: Alyx,"﻿Half-Life: Alyx — это возвращение Valve во вселенную Half-Life в виртуальной реальности. Это история невозможной борьбы с жестокой расой пришельцев, известной как Альянс. События происходят между Half-Life и Half-Life 2. Вы играете за Аликс Вэнс, и вы — единственный шанс человечества на спасение.— Steam",4.6
44,Космические Рейнджеры 2: Доминаторы,"«Космические Рейнджеры 2: Доминаторы» – это уникальное сочетание множества самых различных жанров. Романтика космических странствий и приключений, тактика планетарных боев и стратегия освобождения захваченных врагом систем – все это есть в игре. Даже любителям аркадных битв и текстовых квестов найдется, на что посмотреть.В игре вас ждет невероятно интересный мир, который может жить и развиваться самостоятельно, без вашего участия: 60 звездных систем, в сумме насчитывающих свыше 250 планет и станций. Кроме того, в мире живут своей жизнью сотни кораблей, управляемых компьютерными пилотами. Вы можете выбрать себе героя по вкусу из 5 различных рас, и отправится бороздить галактику. Свобода выбора и принятия решений – вот ключевые слова, которые отражают суть «Космических Рейнджеров 2: Доминаторы».—",4.6
45,The Chronicles Of Myrtana: Archolos,"Лучший мод для Gothic II и, возможно, не только — большая, увлекательная игра часов на 100 реального времени, с фирменной атмосферой, свободой и нелинейностью.—",4.6
46,Factorio: Space Age,"Factorio: Space Age продолжает путешествие игрока после запуска ракет в космос. Открывайте новые миры с уникальными испытаниями, используйте их новые ресурсы для достижения передовых технологических успехов и управляйте своим флотом межпланетных космических платформ.— Steam",4.6
47,Grand Theft Auto: San Andreas,"Заключительное дополнение к GTA III превзойдет все ваши самые смелые мечты. Действие игры разворачивается в штате San Andreas, где вы в роли чернокожего гангстера Сиджея наводите порядок в родном районе. Разработчики с фирменным мастерством написали очень интересную, практически жизненную историю. Взяв под свой контроль главного героя, вы пройдете с ним весь путь криминальной карьеры. Отличные диалоги, прекрасные ролики – все для вас.Пристальное внимание разработчики уделили миру. Город теперь не один, а целых три – причем все они детально проработаны. Добавили создатели и средств передвижения: кроме привычных машин, мотоциклов и вертолетов, появились велосипеды и даже самолеты. Миссии стали очень разнообразные, кроме того к вашим услугам масса развлечений: можно сходить на танцы, посетить спортзал, отправиться в зал аркадных автоматов. Внешний вид героя тоже можно изменять, как душе угодно: разрешается посещать парикмахерские, магазины одежды, купить часы и другие модные вещи.—",4.5
48,Resident Evil 2 (2019),"Выход Resident Evil 2 состоялся в 1998 году, и теперь одна из самых знаменитых игр всех времен возвращается на современные консоли в совершенно новом облике.Пройдите отдельные кампании за Leon Kennedy и Claire Redfield в новом режиме от третьего лица. Отправляйтесь в кишащий зомби Raccoon City, воссозданный на RE Engine — эксклюзивном движке Capcom. Ужасающие открытия ждут не только новых игроков, но и закаленных поклонников, ведь город наполнен головоломками, ответвлениями сюжета и областями!—",4.5
49,Max Payne,"Счастливая жизнь детектива полиции Нью-Йорка Макса Пейна закончилась в тот момент, когда неизвестные преступники вломились в его дом и жестоко убили жену и ребенка. Теперь он желает только одного – найти и покарать тех, кто превратил его жизнь в ад. Продвигаясь по мрачным, залитым дождем улицам, Макс оставляет после себя только горы трупов. Он не знает жалости и уже забыл слово «милосердие». Его путь ведет по краю бездны, и он это понимает как никто другой.Max Payne – один из лучших интерактивных боевиков за всю историю компьютерных игр. Мрачная нуар-атмосфера, по-настоящему интересная история и на всю жизнь запоминающийся главный герой. К вашим услугам десятки видов оружия, и, главное, фирменная способность Макса – уходить в затяжное slo-mo. Трюк, который сегодня использует каждая вторая игра, был впервые использован именно в Max Payne, и именно это позволило разработчикам сделать беспрецедентно кинематографичные перестрелки.—",4.5
